#MASS,A,PLANETDISCMETH
#mjupiter,au,
0.668676,2.23538,RV
0.667539,0.0812267,Transit
0.670098,0.0413137,Transit
0.669277,0.0593858,RV
0.669376,0.0456089,Transit
0.66711,0.0827067,Transit
0.665457,0.044362,Transit
0.662431,0.0571382,Transit
0.664032,0.0399889,Transit
0.658513,0.897549,RV
0.656399,0.0547599,Transit
0.648109,1.70993,RV
0.646927,0.455837,RV
0.643827,0.94038,RV
0.642621,3.70596,Timing
0.641021,0.047362,Transit
0.643816,0.0989169,Transit
0.640416,1.75604,RV
0.639382,0.152945,RV
0.63273,0.049881,Transit
0.627833,0.0433674,Transit
0.623724,0.0392074,RV
0.619839,0.0334746,Transit
0.62047,0.0498148,RV
0.6202,0.060845,Transit
0.623509,0.218045,Transit
0.62,0.0434856,Transit
0.617925,0.122117,RV
0.617485,0.0399488,Transit
0.613081,0.0516466,Transit
0.612168,0.129574,RV
0.608106,3.1288,RV
0.605385,0.056145,Transit
0.596868,0.918027,RV
0.599196,0.0509456,Transit
0.595712,0.0388252,Transit
0.595833,0.0450255,Transit
0.585742,0.0483278,Transit
0.589265,1.18713,RV
0.590076,0.0485382,Transit
0.583282,0.0460506,Transit
0.583354,0.0520747,Transit
0.5806,1.88623,RV
0.578733,0.0484016,Transit
0.57847,0.0473714,Transit
0.571173,0.0532575,Transit
0.566541,0.0368369,Transit
0.567181,0.0465813,Transit
0.564176,0.569755,RV
0.563545,0.0643804,Transit
0.56227,0.0567187,Transit
0.561357,0.0528415,Transit
0.564429,0.476837,Transit
0.559059,0.0468682,Transit
0.564251,0.0774029,Transit
0.551763,0.0344696,Transit
0.55,0.0468733,Transit
0.545774,3.57197,RV
0.542797,0.0499436,Transit
0.543322,0.93961,RV
0.540155,0.0565986,RV
0.539755,0.0436466,Transit
0.542157,0.0681049,Transit
0.542398,0.0405861,Transit
0.542157,0.0387537,Transit
0.537982,0.0617874,Transit
0.537715,2.28335,RV
0.535482,3.02208,RV
0.532369,0.0553326,Transit
0.528122,0.0611041,Transit
0.530158,0.0882385,Transit
0.531485,0.0907551,Transit
0.528573,1.00678,RV
0.52763,0.961227,RV
0.526197,0.0395145,Transit
0.526,0.0449161,Transit
0.52136,0.0428704,Transit
0.515386,0.0545179,Transit
0.512143,0.0531121,Transit
0.5122,0.520765,RV
0.511499,0.0298817,Transit
0.510056,0.042091,RV
0.508547,0.0499354,Transit
0.506039,5.3109,RV
0.504198,1.10806,RV
0.501427,1.26054,RV
0.503122,0.110433,Transit
0.5,0.0505526,Transit
0.5,113.443,Imaging
0.500877,0.0497212,Transit
0.498041,0.126015,Transit
0.496968,0.0547344,Transit
0.493545,0.0289537,Transit
0.493,0.0576688,Transit
0.488198,0.825444,Transit
0.484,0.0590095,Transit
0.480333,0.877542,RV
0.476871,0.0518237,Transit
0.48,0.0453489,Transit
0.479479,0.052477,Transit
0.479329,0.0466223,Transit
0.478455,0.0588578,Transit
0.477325,0.0435743,RV
0.473883,0.0537034,Transit
0.468584,2.69464,RV
0.468448,0.227878,RV
0.462537,0.0496334,Transit
0.461143,0.0521068,RV
0.46004,0.047858,RV
0.457165,0.0271336,Transit
0.452799,0.0479747,RV
0.450523,0.415174,RV
0.437758,0.0622369,Transit
0.431956,0.0556348,Transit
0.430957,0.0450195,Transit
0.43122,0.0794132,Transit
0.430669,0.176696,RV
0.429903,0.0437823,RV
0.424566,0.0403268,Transit
0.41931,0.0517914,Transit
0.41865,0.0532427,Transit
0.416435,0.0673355,Transit
0.410096,0.177758,RV
0.4002,0.0570893,Transit
0.397418,0.057344,RV
0.397195,0.142061,RV
0.395855,0.0404623,RV
0.39615,0.034116,RV
0.390252,0.177066,Transit
0.385706,2.36847,RV
0.384566,0.0362523,RV
0.383964,0.764923,Transit
0.381266,0.0540454,Transit
0.378231,0.0378972,Transit
0.378096,0.0574592,Transit
0.376,0.280101,Timing
0.37199,1.84741,RV
0.372141,0.0783093,Transit
0.368054,0.070273,RV
0.368176,0.476549,RV
0.362167,0.0421448,Transit
0.361471,0.0431325,RV
0.36,0.774655,RV
0.357927,2.10091,RV
0.354314,0.25497,RV
0.352,0.0507459,Transit
0.349418,0.0570646,Transit
0.348285,2.38704,RV
0.346328,0.0715732,RV
0.338157,1.02382,RV
0.333,0.646795,Transit
0.331101,1.20425,RV
0.330171,0.145378,RV
0.328101,0.679166,RV
0.327524,1.28243,RV
0.325341,1.13179,RV
0.319,0.0362414,Transit
0.31667,0.0549549,Transit
0.314805,0.1969,Transit
0.311,0.0599991,Transit
0.305222,0.420795,Transit
0.309149,0.0506843,Transit
0.299893,0.0636824,Transit
0.3,0.0590285,Transit
0.300272,0.0521087,Transit
0.299187,0.302019,RV
0.297735,0.163506,RV
0.296108,0.0469104,RV
0.295018,1.36155,RV
0.292273,0.0466409,Transit
0.294675,0.283321,Transit
0.29,0.091351,Transit
0.284338,0.0485835,Transit
0.284326,0.044951,Transit
0.2755,0.0946483,Transit
0.27467,0.0629198,RV
0.273475,0.0608315,Transit
0.271,4.52773,Microlensing
0.27,0.0577982,Transit
0.268526,0.262717,Transit
0.267569,0.0522992,Transit
0.26689,2.55427,RV
0.259543,0.0452527,Transit
0.259,0.134393,RV
0.257999,0.101407,RV
0.249782,0.576981,Transit
0.249652,0.355656,RV
0.248945,0.140548,Transit
0.245103,0.0655505,RV
0.242991,0.0456587,Transit
0.241296,0.498966,Transit
0.243389,0.121444,Transit
0.237663,0.0542014,Transit
0.232142,0.0511051,RV
0.228975,0.29472,RV
0.227816,0.88883,RV
0.228032,0.0758978,Transit
0.227201,0.0399038,RV
0.224011,0.647542,Transit
0.220004,0.86856,Transit
0.218701,0.0809789,Transit
0.217563,0.736177,Transit
0.216078,0.0633825,Transit
0.212872,0.687282,RV
0.212171,0.270013,RV
0.210804,0.0383737,Transit
0.204677,0.0523044,Transit
0.204061,0.0555523,Transit
0.196739,0.167568,Transit
0.199113,0.0626633,Transit
0.197205,0.0559503,Transit
0.194248,0.138351,Transit
0.18782,0.122418,Transit
0.187149,0.68156,RV
0.186816,0.0573215,Transit
0.185935,0.264333,RV
0.182193,0.503142,Transit
0.184717,0.145024,Transit
0.176652,0.174852,RV
0.172877,0.773567,RV
0.169756,0.152077,RV
0.168671,0.22473,Transit
0.16788,0.71769,RV
0.168248,0.436631,RV
0.167379,0.0574384,Transit
0.165168,0.0450964,Transit
0.164558,0.237305,RV
0.163924,0.173437,Transit
0.164047,0.103131,Transit
0.159251,0.723521,Transit
0.154219,0.736945,Transit
0.149499,1.12814,Transit
0.145803,0.0615039,Transit
0.144903,0.742026,Transit
0.145002,0.073611,Transit
0.139169,0.290481,Transit
0.13832,0.0466748,Transit
0.136415,0.0518657,Transit
0.136066,0.25806,Transit
0.13484,0.502439,Transit
0.131884,1.52377,RV
0.130623,0.378116,Transit
0.130522,0.0452895,Transit
0.127011,0.48628,Transit
0.125283,0.0869107,Transit
0.123778,1.54309,RV
0.124338,0.532115,Transit
0.123396,0.84075,Transit
0.122459,0.0470747,Transit
0.121945,0.572614,Transit
0.119525,0.0401202,Transit
0.12013,0.363536,Transit
0.118744,0.0793434,Transit
0.117824,0.258472,Transit
0.117935,0.0623222,Transit
0.116833,0.0553247,Transit
0.117213,0.347807,Transit
0.115338,0.498476,Transit
0.115399,0.0450089,Transit
0.115399,0.105218,Transit
0.112141,0.288651,Transit
0.112312,0.105428,Transit
0.111491,0.0134503,Transit
0.11109,0.283142,Transit
0.110157,0.195757,Transit
0.108832,0.0343627,Transit
0.108498,0.870478,Transit
0.105771,0.265894,Transit
0.106179,0.121908,RV
0.104473,0.309084,Transit
0.101571,0.0571073,RV
0.101052,0.0596165,Transit
0.101476,0.729773,Transit
0.100676,0.516293,Transit
0.0997116,0.0807898,Transit
0.096,0.107552,Transit
0.100437,0.629412,Transit
0.0982431,0.249018,RV
0.0975428,0.0687315,Transit
0.0980484,0.246993,Transit
0.096608,0.0667693,Transit
0.0961265,0.481226,RV
0.0964436,0.0686885,Transit
0.095206,0.166175,Transit
0.095206,0.256743,Transit
0.0938647,0.214705,Transit
0.0926098,1.03037,RV
0.0923502,0.198299,Transit
0.09114,0.462033,Transit
0.09114,0.0421891,Transit
0.0903378,0.13125,Transit
0.0899033,0.113014,Transit
0.087953,0.071979,Transit
0.0877632,0.64119,Transit
0.0867729,0.0891946,Transit
0.0866591,0.136979,Transit
0.0872267,0.0980725,Transit
0.0867729,0.0509616,Transit
0.0851504,0.0498037,Transit
0.0843442,0.14979,Transit
0.0837774,0.119635,RV
0.0812259,0.165827,Transit
0.0802152,0.124621,Transit
0.0802404,0.0794372,Transit
0.0797893,0.269917,RV
0.0786872,0.0627173,Transit
0.0793989,0.168484,Transit
0.0783692,0.346809,Transit
0.0779976,0.686927,Transit
0.0778032,0.319334,RV
0.0771544,0.195818,RV
0.0768885,0.081813,Transit
0.0772279,0.0455763,Transit
0.0772573,0.0527424,Transit
0.0770689,0.226601,RV
0.0754224,0.0541085,Transit
0.0754224,0.614964,Transit
0.0750581,0.532697,Transit
0.0746947,0.187767,Transit
0.0743252,0.49279,RV
0.0741085,0.143389,RV
0.0739707,0.227107,Transit
0.0736073,1.18358,RV
0.0733215,0.0546218,Transit
0.0729242,0.895669,Transit
0.0726979,0.0287188,RV
0.0726872,0.534239,Transit
0.07231510011972248,0.2692,
0.07166608544405326,0.1131,
0.0723594,0.154139,Transit
0.0715929,0.474527,RV
0.071203,0.0498411,RV
0.0711111,0.537936,Transit
0.0714653,0.0753112,Transit
0.0707577,0.0464443,Transit
0.0710944,0.0913762,Transit
0.0707577,0.0482066,Transit
0.071727,0.187804,Transit
0.069254,0.150571,Transit
0.0690043,0.0444161,Transit
0.0685925,0.386163,Transit
0.0677894,0.0996107,Transit
0.0673813,1.42271,RV
0.0669595,0.135435,RV
0.0668751,0.361757,RV
0.0652266,0.118109,Transit
0.0654095,0.253499,Transit
0.0642153,0.078424,Transit
0.0632121,0.137986,Transit
0.0622185,0.0515012,RV
0.0621296,0.429659,Transit
0.0606674,0.158038,Transit
0.060903,0.0626287,Transit
